target_name,kepid,tic_id,source_table,label,period,duration,depth,rp,rp_est,rstar,teff,logg,period_missing,duration_missing,depth_missing,rp_missing,rp_est_missing,rstar_missing,teff_missing,logg_missing,label_idx
,10797460.0,,kepler_cumulative,confirmed,4.6211026,2.8,2730.0,7.91263,8.79039,1.08,5660.0,4.37257,1,1,1,1,1,1,1,1,2
,10797460.0,,kepler_cumulative,confirmed,4.6211026,2.8,2730.0,7.91263,8.79039,1.08,5660.0,4.37257,1,1,1,1,1,1,1,1,2
,10811496.0,,kepler_cumulative,candidate,4.6211026,2.8,2730.0,7.91263,8.79039,1.08,5660.0,4.37257,1,1,1,1,1,1,1,1,1
,10848459.0,,kepler_cumulative,false_positive,4.6211026,2.8,2730.0,7.91263,8.79039,1.08,5660.0,4.37257,1,1,1,1,1,1,1,1,0
,10854555.0,,kepler_cumulative,confirmed,4.6211026,2.8,2730.0,7.91263,8.79039,1.08,5660.0,4.37257,1,1,1,1,1,1,1,1,2
,10872983.0,,kepler_cumulative,confirmed,4.6211026,2.8,2730.0,7.91263,8.79039,1.08,5660.0,4.37257,1,1,1,1,1,1,1,1,2
,10872983.0,,kepler_cumulative,confirmed,4.6211026,2.8,2730.0,7.91263,8.79039,1.08,5660.0,4.37257,1,1,1,1,1,1,1,1,2
,10872983.0,,kepler_cumulative,confirmed,4.6211026,2.8,2730.0,7.91263,8.79039,1.08,5660.0,4.37257,1,1,1,1,1,1,1,1,2
,6721123.0,,kepler_cumulative,false_positive,4.6211026,2.8,2730.0,7.91263,8.79039,1.08,5660.0,4.37257,1,1,1,1,1,1,1,1,0
,10910878.0,,kepler_cumulative,confirmed,4.6211026,2.8,2730.0,7.91263,8.79039,1.08,5660.0,4.37257,1,1,1,1,1,1,1,1,2
,11446443.0,,kepler_cumulative,confirmed,4.6211026,2.8,2730.0,7.91263,8.79039,1.08,5660.0,4.37257,1,1,1,1,1,1,1,1,2
,10666592.0,,kepler_cumulative,confirmed,4.6211026,2.8,2730.0,7.91263,8.79039,1.08,5660.0,4.37257,1,1,1,1,1,1,1,1,2
,6922244.0,,kepler_cumulative,confirmed,4.6211026,2.8,2730.0,7.91263,8.79039,1.08,5660.0,4.37257,1,1,1,1,1,1,1,1,2
,10984090.0,,kepler_cumulative,confirmed,4.6211026,2.8,2730.0,7.91263,8.79039,1.08,5660.0,4.37257,1,1,1,1,1,1,1,1,2
,10419211.0,,kepler_cumulative,false_positive,4.6211026,2.8,2730.0,7.91263,8.79039,1.08,5660.0,4.37257,1,1,1,1,1,1,1,1,0
,10464078.0,,kepler_cumulative,false_positive,4.6211026,2.8,2730.0,7.91263,8.79039,1.08,5660.0,4.37257,1,1,1,1,1,1,1,1,0
